# Team 0: SixsevenPoker, Team 1: hee
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Flop,1,-55,55,DISCARD,0,1,2,"['9d', '9s']","['4h', '4d', '5s', '4s', '5h']","['6s', '5d', '6h']","['Ad', '3s', '7h']",[],5,5
7,Flop,0,-55,55,RAISE,6,0,0,"['9d', '9s']","['4d', '5s']","['6s', '5d', '6h']","['Ad', '3s', '7h']","['4h', '4s', '5h']",5,5
7,Flop,1,-55,55,RAISE,12,0,0,"['9d', '9s']","['4d', '5s']","['6s', '5d', '6h']","['Ad', '3s', '7h']","['4h', '4s', '5h']",5,5
7,Flop,0,-55,55,CALL,0,0,0,"['9d', '9s']","['4d', '5s']","['6s', '5d', '6h']","['Ad', '3s', '7h']","['4h', '4s', '5h']",11,11
7,Turn,0,-55,55,RAISE,27,0,0,"['9d', '9s']","['4d', '5s']","['6s', '5d', '6h', '8h']","['Ad', '3s', '7h']","['4h', '4s', '5h']",23,23
7,Turn,1,-55,55,RAISE,50,0,0,"['9d', '9s']","['4d', '5s']","['6s', '5d', '6h', '8h']","['Ad', '3s', '7h']","['4h', '4s', '5h']",23,23
7,Turn,0,-55,55,FOLD,0,0,0,"['9d', '9s']","['4d', '5s']","['6s', '5d', '6h', '8h']","['Ad', '3s', '7h']","['4h', '4s', '5h']",50,50
8,Pre-Flop,0,-105,105,CALL,0,0,0,"['3h', '4d', '8h', '2d', '6d']","['9d', '9s', '7d', '6h', '3s']",[],[],[],1,1
8,Pre-Flop,1,-105,105,RAISE,10,0,0,"['3h', '4d', '8h', '2d', '6d']","['9d', '9s', '7d', '6h', '3s']",[],[],[],2,2
8,Pre-Flop,0,-105,105,CALL,0,0,0,"['3h', '4d', '8h', '2d', '6d']","['9d', '9s', '7d', '6h', '3s']",[],[],[],2,2
8,Flop,1,-105,105,DISCARD,0,0,3,"['3h', '4d', '8h', '2d', '6d']","['9d', '9s', '7d', '6h', '3s']","['7s', '8d', '3d']",[],[],12,12
8,Flop,0,-105,105,DISCARD,0,0,2,"['3h', '4d', '8h', '2d', '6d']","['9d', '6h']","['7s', '8d', '3d']",[],"['9s', '7d', '3s']",12,12
8,Flop,1,-105,105,CHECK,0,0,0,"['3h', '8h']","['9d', '6h']","['7s', '8d', '3d']","['4d', '2d', '6d']","['9s', '7d', '3s']",12,12
8,Flop,0,-105,105,RAISE,14,0,0,"['3h', '8h']","['9d', '6h']","['7s', '8d', '3d']","['4d', '2d', '6d']","['9s', '7d', '3s']",12,12
8,Flop,1,-105,105,CALL,0,0,0,"['3h', '8h']","['9d', '6h']","['7s', '8d', '3d']","['4d', '2d', '6d']","['9s', '7d', '3s']",12,12
8,Turn,1,-105,105,CHECK,0,0,0,"['3h', '8h']","['9d', '6h']","['7s', '8d', '3d', '4h']","['4d', '2d', '6d']","['9s', '7d', '3s']",26,26
8,Turn,0,-105,105,RAISE,31,0,0,"['3h', '8h']","['9d', '6h']","['7s', '8d', '3d', '4h']","['4d', '2d', '6d']","['9s', '7d', '3s']",26,26
8,Turn,1,-105,105,CALL,0,0,0,"['3h', '8h']","['9d', '6h']","['7s', '8d', '3d', '4h']","['4d', '2d', '6d']","['9s', '7d', '3s']",26,26
8,River,1,-105,105,CHECK,0,0,0,"['3h', '8h']","['9d', '6h']","['7s', '8d', '3d', '4h', 'Ad']","['4d', '2d', '6d']","['9s', '7d', '3s']",57,57
8,River,0,-105,105,RAISE,43,0,0,"['3h', '8h']","['9d', '6h']","['7s', '8d', '3d', '4h', 'Ad']","['4d', '2d', '6d']","['9s', '7d', '3s']",57,57
